,quantidade,latitude,longitude
Copacabana,8043,-22.97240729827173,-43.186346434166296
Barra da Tijuca,3364,-23.00472605826404,-43.35437559750311
Ipanema,2308,-22.984106204506045,-43.201330706239155
Jacarepaguá,1890,-22.968044280423264,-43.39255460317459
Botafogo,1682,-22.95113285374557,-43.18494260404275
Recreio dos Bandeirantes,1545,-23.019000038834985,-43.4703904530744
Leblon,1275,-22.983497223529437,-43.22332618039207
Santa Teresa,1078,-22.920501994434105,-43.18646382189241
Centro,941,-22.91175878852282,-43.18381862911796
Flamengo,843,-22.93484991696325,-43.17600161328591
Laranjeiras,684,-22.935846301169608,-43.18739498538014
Tijuca,679,-22.926090942562585,-43.23133964653904
Leme,568,-22.962606798029963,-43.17024398300651
Glória,337,-22.921419169139458,-43.17626845697327
Lagoa,329,-22.968798662613974,-43.20364249240121
Catete,329,-22.92668796352584,-43.17891528875377
Humaitá,286,-22.956926503496486,-43.199774580419536
Jardim Botânico,280,-22.96274400000001,-43.21860832142857
Camorim,276,-22.978546702898555,-43.41622293478259
Maracanã,272,-22.914286764705903,-43.229135772058854
Gávea,261,-22.977401609195404,-43.23111942528735
Vila Isabel,252,-22.915937341269846,-43.244431111111105
Freguesia (Jacarepaguá),204,-22.939225882352936,-43.34129338235296
São Conrado,181,-22.994906961325967,-43.26138524861878
Taquara,180,-22.92455466666668,-43.37849738888889
Vargem Pequena,173,-22.98739294797689,-43.458355433526016
Vidigal,144,-22.994087986111104,-43.236567152777766
Itanhangá,138,-22.988566594202894,-43.310967608695655
Urca,126,-22.948819285714286,-43.16498150793652
Cosme Velho,118,-22.940155084745765,-43.19904669491526
Vargem Grande,113,-22.982042477876107,-43.49540964601769
Rio Comprido,112,-22.924169732142854,-43.209245357142855
Estácio,95,-22.916627894736838,-43.20646705263158
Grajaú,95,-22.922566421052625,-43.262492736842106
São Cristóvão,92,-22.90001804347826,-43.22180184782609
Curicica,82,-22.954485975609757,-43.388155731707315
Campo Grande,82,-22.90004048780489,-43.564145853658516
Andaraí,78,-22.92449320512821,-43.24740628205128
Barra de Guaratiba,74,-23.054969594594596,-43.56084810810811
Praça da Bandeira,74,-22.91247472972974,-43.21336094594594
Engenho de Dentro,71,-22.894730563380286,-43.293340281690135
Pechincha,70,-22.93178028571429,-43.354963
Guaratiba,65,-22.985697384615385,-43.58741123076924
Jardim Guanabara,57,-22.81332719298246,-43.199600701754385
Anil,55,-22.951592727272732,-43.33792945454545
Méier,53,-22.901088490566035,-43.27991226415096
Engenho Novo,51,-22.908708627450974,-43.26882843137255
Joá,50,-23.011882400000005,-43.291077
Alto da Boa Vista,46,-22.963649347826095,-43.26403478260869
Irajá,38,-22.83661342105264,-43.322814473684204
Cachambi,37,-22.88843864864865,-43.27714594594593
Todos os Santos,37,-22.89596027027027,-43.286232972972975
Praça Seca,34,-22.89799058823529,-43.350205294117636
Paquetá,31,-22.755684516129033,-43.1079122580645
São Francisco Xavier,31,-22.905147419354844,-43.24305999999999
Tanque,29,-22.91712275862069,-43.362257241379304
Cidade Nova,27,-22.91106925925926,-43.20186555555556
Brás de Pina,26,-22.831879999999998,-43.29519884615385
Rocha,26,-22.901487307692314,-43.24852115384616
Gardênia Azul,26,-22.95793692307693,-43.35069038461539
Riachuelo,26,-22.90199769230769,-43.25544153846154
Saúde,25,-22.8984976,-43.18452360000001
Encantado,24,-22.895945833333332,-43.30351666666666
Gamboa,24,-22.89724375,-43.193002916666664
Del Castilho,24,-22.877673333333334,-43.269555000000004
Rocinha,22,-22.988759545454542,-43.24882818181818
Penha,21,-22.83756523809524,-43.27495952380953
Santa Cruz,20,-22.906381500000002,-43.67385
Mangueira,19,-22.907058421052636,-43.23564105263158
Bonsucesso,19,-22.86217684210526,-43.25388789473684
Portuguesa,19,-22.800713684210525,-43.20811105263158
Bangu,18,-22.868565,-43.467907777777775
Lins de Vasconcelos,17,-22.909470588235294,-43.27949823529411
Santo Cristo,15,-22.901628666666667,-43.20169733333333
Vila Valqueire,15,-22.885793333333332,-43.36863999999999
Piedade,15,-22.885932000000007,-43.307766
Pedra de Guaratiba,15,-23.002832,-43.63565866666668
Maria da Graça,14,-22.88125214285714,-43.26235928571429
Tauá,14,-22.797345714285715,-43.18647285714286
Realengo,13,-22.881097692307687,-43.429069999999996
Cosmos,13,-22.908461538461538,-43.612941538461534
Jardim Sulacap,13,-22.889392307692308,-43.395173846153845
Cidade de Deus,13,-22.947127692307692,-43.36212076923077
Marechal Hermes,13,-22.85914,-43.36688769230769
Vila da Penha,13,-22.84393307692308,-43.310166153846154
Vasco da Gama,12,-22.895168333333334,-43.224684999999994
Sampaio,12,-22.901390833333334,-43.261159166666665
Campinho,12,-22.885296666666665,-43.347364166666665
Guadalupe,11,-22.84401181818182,-43.37357090909091
Olaria,11,-22.84774909090909,-43.26673909090909
Bento Ribeiro,11,-22.866874545454543,-43.36087636363636
Higienópolis,11,-22.87461454545455,-43.26234909090909
Ramos,10,-22.855434999999996,-43.257951999999996
Parque Anchieta,10,-22.831116,-43.402661
Quintino Bocaiúva,10,-22.887003999999997,-43.318051000000004
Madureira,10,-22.875001,-43.33927800000001
Jardim Carioca,10,-22.806058,-43.19641700000001
Padre Miguel,10,-22.882469,-43.450306999999995
Cascadura,10,-22.881225999999998,-43.326876
Penha Circular,9,-22.840484444444446,-43.29548
Paciência,9,-22.91431888888889,-43.63244111111111
Osvaldo Cruz,9,-22.873925555555555,-43.35092222222222
Moneró,8,-22.7969825,-43.19764375
Sepetiba,8,-22.978305000000002,-43.69443
Pilares,8,-22.87955125,-43.29459625
Cacuia,8,-22.820355,-43.188301249999995
Benfica,7,-22.894875714285714,-43.23880571428572
Catumbi,7,-22.918955714285712,-43.19603
Tomás Coelho,7,-22.868097142857142,-43.306417142857136
Santíssimo,7,-22.875459999999997,-43.524629999999995
Senador Vasconcelos,7,-22.895028571428565,-43.531604285714295
Engenho da Rainha,7,-22.86591142857143,-43.29743
Vicente de Carvalho,7,-22.85506857142857,-43.31278857142858
Inhaúma,7,-22.871904285714287,-43.27739142857143
Ricardo de Albuquerque,6,-22.83903666666667,-43.39792333333333
Freguesia (Ilha),6,-22.791043333333334,-43.17178666666666
Jacaré,6,-22.894333333333332,-43.25999166666667
Abolição,6,-22.888328333333334,-43.29734500000001
Senador Camará,5,-22.884756000000003,-43.49546599999999
Parada de Lucas,5,-22.818106,-43.303646
Anchieta,5,-22.820398000000004,-43.39837
Cocotá,5,-22.805664,-43.179526
Pavuna,5,-22.816343999999997,-43.368824000000004
Magalhães Bastos,5,-22.879048,-43.410824000000005
Pitangueiras,4,-22.8161525,-43.178830000000005
Cordovil,4,-22.8240725,-43.3059
Barros Filho,4,-22.837505,-43.3651775
Vila Kosmos,4,-22.8513175,-43.305152500000005
Complexo do Alemão,3,-22.861459999999997,-43.276446666666665
Inhoaíba,3,-22.899736666666666,-43.58927333333333
Água Santa,3,-22.907870000000003,-43.30661666666666
Coelho Neto,3,-22.826946666666668,-43.35227666666666
Bancários,3,-22.79675,-43.173696666666665
Vaz Lobo,3,-22.85869333333333,-43.32601666666667
Rocha Miranda,3,-22.850579999999997,-43.347946666666665
Ribeira,3,-22.82344,-43.17088999999999
Grumari,3,-23.047629999999998,-43.53801666666667
Galeão,3,-22.811179999999997,-43.22632333333333
Vila Militar,2,-22.88033,-43.40314
Caju,2,-22.888095,-43.22167
Manguinhos,2,-22.88306,-43.24566
Engenheiro Leal,2,-22.876125000000002,-43.32224
Colégio,2,-22.84006,-43.33081
Vista Alegre,2,-22.831744999999998,-43.31337
Deodoro,2,-22.848845,-43.381535
Vigário Geral,2,-22.8176,-43.311135
Cidade Universitária,1,-22.869770000000003,-43.217690000000005
Jardim América,1,-22.81087,-43.31732
Parque Colúmbia,1,-22.81446,-43.33546
Cavalcanti,1,-22.87639,-43.315290000000005
Maré,1,-22.86753,-43.23983
Gericinó,1,-22.82563,-43.46393
Honório Gurgel,1,-22.85298,-43.35386
Praia da Bandeira,1,-22.806720000000002,-43.177479999999996
Campo dos Afonsos,1,-22.88363,-43.37611
